2023-02-09,0,17:36:58
2023-02-08,0,17:49:27
2023-02-07,1,17:14:01
2023-02-06,0,17:44:19
2023-02-05,0,19:33:20
2023-02-03,0,15:18:21
2023-02-02,1,17:13:03
2023-02-01,0,17:39:12
2023-01-31,0,17:36:57
2023-01-29,0,17:22:31
2023-01-28,0,17:35:48
2023-01-27,0,13:42:17
2023-01-26,0,17:24:12
2023-01-25,0,17:21:39
2023-01-24,0,17:26:27
2023-01-22,0,17:24:48
2023-01-21,1,17:05:44
2023-01-20,0,14:33:14
2023-01-19,0,17:15:58
2023-01-18,0,17:35:14
2023-01-17,0,17:19:45
2023-01-15,0,17:26:16
2023-01-14,1,17:12:06
2023-01-13,0,15:25:16
2023-01-12,0,17:17:55
2023-01-11,0,17:15:33
2023-01-10,0,17:27:28
2023-01-08,0,18:01:16
2023-01-07,1,17:11:21
2023-01-06,0,12:44:54
2023-01-05,1,17:14:46
2023-01-04,1,17:11:18
2023-01-03,1,17:07:32
2023-01-02,0,17:19:39
2023-01-01,0,18:40:50
